Part;Quantity;Link	
Plywood board (3	7mm);1;https://www.aliexpress.com/item/1005008406186499.html?spm=a2g0o.productlist.main.4.4652tRzQtRzQku&algo_pvid=fa5cbbf7-acaf-41e4-9c9d-c8f08a504095&algo_exp_id=fa5cbbf7-acaf-41e4-9c9d-c8f08a504095-3&pdp_ext_f=%7B%22order%22%3A%2223%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%212.49%212.49%21%21%2119.70%2119.68%21%4021039a5b17689318090644980e24c5%2112000044907921965%21sea%21LT%213133048786%21X%211%210%21n_tag%3A-29919%3Bd%3A2dd1b04c%3Bm03_new_user%3A-29895&curPageLogUid=ZGhXTGMqJ7CS&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008406186499%7C_p_origin_prod%3A
Fan (12V 120mm);1;https://www.aliexpress.com/item/1005006993528896.html?spm=a2g0o.productlist.main.9.6cd12514icXkNl&algo_pvid=8fde3aaf-5bb8-4753-994f-244cceb18617&algo_exp_id=8fde3aaf-5bb8-4753-994f-244cceb18617-8&pdp_ext_f=%7B%22order%22%3A%2236%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%214.22%214.22%21%21%2133.36%2133.36%21%40211b80c217689312097391858e14f4%2112000038981569313%21sea%21LT%213133048786%21X%211%210%21n_tag%3A-29919%3Bd%3A2dd1b04c%3Bm03_new_user%3A-29895&curPageLogUid=DtqJz9qV9gXA&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006993528896%7C_p_origin_prod%3A	
Wire;1;https://www.aliexpress.com/item/1005009648966812.html?spm=a2g0o.productlist.main.2.23cd1f3eaM1KI8&algo_pvid=907a6ee3-737f-4369-bfaa-9c90376e31a3&algo_exp_id=907a6ee3-737f-4369-bfaa-9c90376e31a3-1&pdp_ext_f=%7B%22order%22%3A%224084%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005009648966812%22%2C%22orig_item_id%22%3A%221005009017260144%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%210.93%210.93%21%21%217.33%217.33%21%402103835c17689323915511428e7e8a%2112000049765727379%21sea%21LT%213133048786%21X%211%210%21n_tag%3A-29919%3Bd%3A2dd1b04c%3Bm03_new_user%3A-29895&curPageLogUid=UnlzeKJ6btdx&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009648966812%7C_p_origin_prod%3A1005009017260144	
Switch;1;https://www.aliexpress.com/item/1000007042312.html?spm=a2g0o.productlist.main.15.6734331buhZKHZ&algo_pvid=4d3c23dd-5b84-41fd-930c-943d26265ab1&algo_exp_id=4d3c23dd-5b84-41fd-930c-943d26265ab1-14&pdp_ext_f=%7B%22order%22%3A%22576%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%211.41%211.41%21%21%211.60%211.60%21%402103985c17689324247017428e405d%211000113088698%21sea%21LT%213133048786%21X%211%210%21n_tag%3A-29919%3Bd%3A2dd1b04c%3Bm03_new_user%3A-29895&curPageLogUid=r3xHHmCdmv9p&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1000007042312%7C_p_origin_prod%3A	
Screw (M4 15mm);6;https://www.aliexpress.com/item/4001074924245.html?spm=a2g0o.productlist.main.6.612467fcNfuj2G&algo_pvid=19a3816e-dd7e-4975-ba36-0ef5b38ec8c2&algo_exp_id=19a3816e-dd7e-4975-ba36-0ef5b38ec8c2-5&pdp_ext_f=%7B%22order%22%3A%222403%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%212.07%212.05%21%21%212.35%212.34%21%40211b629217689326335792271e3a4f%2110000014184740399%21sea%21LT%213133048786%21X%211%210%21n_tag%3A-29919%3Bd%3A2dd1b04c%3Bm03_new_user%3A-29895&curPageLogUid=R1ZidmzUp6dY&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A4001074924245%7C_p_origin_prod%3A	
Power supply (12V);1;https://www.aliexpress.com/item/4001286748696.html?spm=a2g0o.productlist.main.21.269e4b4azJocDL&algo_pvid=9755bcdd-a67d-41f6-b364-2a9eba2007a0&algo_exp_id=9755bcdd-a67d-41f6-b364-2a9eba2007a0-20&pdp_ext_f=%7B%22order%22%3A%22185%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%212.59%212.59%21%21%212.94%212.94%21%402103894417689331995816626e4971%2110000015613572379%21sea%21LT%213133048786%21X%211%210%21n_tag%3A-29919%3Bd%3A2dd1b04c%3Bm03_new_user%3A-29895&curPageLogUid=fSuJUzgmMcin&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A4001286748696%7C_p_origin_prod%3A	
Power plug ;1;https://www.aliexpress.com/item/1005006472747217.html?spm=a2g0o.productlist.main.1.1fe674e1q3WF9j&algo_pvid=696077e4-04a9-43d0-97e7-dd0558ae7d7d&algo_exp_id=696077e4-04a9-43d0-97e7-dd0558ae7d7d-0&pdp_ext_f=%7B%22order%22%3A%224992%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%211.38%211.38%21%21%211.57%211.57%21%402103849717689333397974060e372b%2112000037321758211%21sea%21LT%213133048786%21X%211%210%21n_tag%3A-29919%3Bd%3A2dd1b04c%3Bm03_new_user%3A-29895&curPageLogUid=6GzHeC2iZGyb&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006472747217%7C_p_origin_prod%3A	
Led strip (10cm);1;https://www.aliexpress.com/item/1005009153833135.html?spm=a2g0o.productlist.main.1.4e483864ynTPdl&algo_pvid=adda3e46-f0a0-45a1-b2c9-29bd8035bc15&algo_exp_id=adda3e46-f0a0-45a1-b2c9-29bd8035bc15-0&pdp_ext_f=%7B%22order%22%3A%22329%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%212.59%212.59%21%21%212.94%212.94%21%40211b80f717689335626108106ec9c0%2112000048114826793%21sea%21LT%213133048786%21X%211%210%21n_tag%3A-29919%3Bd%3A2dd1b04c%3Bm03_new_user%3A-29895&curPageLogUid=kKfTUCVvXint&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009153833135%7C_p_origin_prod%3A	
